listing_id,amenity_id,amenity_type
284087,34,Smoke alarm
284087,36,Host greets you
303277,3,Coffee maker
303277,4,Essentials
303277,38,Extra pillows and blankets
303277,101,Paid parking on premises
303277,6,Shampoo
303277,45,Baking sheet
303277,7,Dedicated workspace
303277,53,Conditioner
303277,9,Wifi
303277,39,Bed linens
303277,10,First aid kit
303277,59,Bathtub
303277,11,Hair dryer
303277,12,Cooking basics
303277,13,Luggage dropoff allowed
303277,14,Dishwasher
303277,40,TV
303277,55,Portable fans
303277,16,Iron
303277,61,Lockbox
303277,70,Wine glasses
303277,105,Clothing storage: closet
303277,17,Refrigerator
303277,18,Long term stays allowed
303277,19,Carbon monoxide alarm
303277,20,Microwave
303277,21,Kitchen
303277,51,Single level home
303277,86,Hot water kettle
303277,73,Dining table
303277,52,Shower gel
303277,23,Dryer
303277,22,Hangers
303277,24,Stove
303277,74,Toaster
303277,27,Oven
303277,28,Fire extinguisher
303277,76,Cleaning products
303277,29,Washer
303277,30,Free street parking
303277,31,Dishes and silverware
303277,32,Heating
303277,33,Hot water
303277,34,Smoke alarm
303277,56,Body soap
303277,106,Rice maker
303277,35,Patio or balcony
303277,57,Freezer
303277,37,Indoor fireplace
338091,2,Free parking on premises
338091,3,Coffee maker
338091,4,Essentials
338091,38,Extra pillows and blankets
338091,101,Paid parking on premises
338091,6,Shampoo
338091,45,Baking sheet
338091,7,Dedicated workspace
338091,65,Smart lock
338091,46,Ethernet connection
338091,8,Backyard
338091,9,Wifi
338091,39,Bed linens
338091,10,First aid kit
338091,11,Hair dryer
338091,12,Cooking basics
338091,13,Luggage dropoff allowed
338091,14,Dishwasher
338091,40,TV
338091,98,Elevator
338091,16,Iron
338091,107,Paid parking off premises
338091,17,Refrigerator
338091,48,BBQ grill
338091,18,Long term stays allowed
338091,19,Carbon monoxide alarm
338091,50,Barbecue utensils
338091,41,Air conditioning
338091,21,Kitchen
338091,22,Hangers
338091,23,Dryer
338091,24,Stove
338091,27,Oven
338091,28,Fire extinguisher
338091,29,Washer
338091,30,Free street parking
338091,31,Dishes and silverware
338091,32,Heating
338091,33,Hot water
338091,34,Smoke alarm
338091,35,Patio or balcony
338091,97,Breakfast
338091,37,Indoor fireplace
340706,3,Coffee maker
340706,4,Essentials
340706,38,Extra pillows and blankets
340706,5,Pack \u2019n Play/travel crib
340706,6,Shampoo
340706,7,Dedicated workspace
340706,8,Backyard
340706,9,Wifi
340706,80,Keypad
340706,39,Bed linens
340706,11,Hair dryer
340706,12,Cooking basics
340706,13,Luggage dropoff allowed
340706,14,Dishwasher
340706,40,TV
340706,15,Children\u2019s books and toys
340706,16,Iron
340706,17,Refrigerator
340706,18,Long term stays allowed
340706,19,Carbon monoxide alarm
340706,20,Microwave
340706,21,Kitchen
340706,22,Hangers
340706,23,Dryer
340706,24,Stove
340706,25,High chair
340706,27,Oven
340706,28,Fire extinguisher
